"Pair"	"Ratio_GEM"	"Ratio_ecGEM"
"1"	"P07014_P0AGB0"	0.687275391093962	0.962509155839132
"2"	"P0A9U8_P0AGB0"	0.688988358004881	0.98069364340197
"3"	"P0ABB4_P0A9U8"	0.980994376279979	0.790515589111005
"4"	"P0ABI8_P0AGB0"	0.687404867858689	0.974207570949618
"5"	"P0ABJ1_P0AGB0"	0.687404867858689	0.974207667718738
"6"	"P0ABJ3_P0AGB0"	0.687404867858689	0.974207570949618
"7"	"P0ABJ6_P0AGB0"	0.687404867858689	0.974207667718738
"8"	"P0AC41_P0AGB0"	0.687275391093962	0.962509246609042
"9"	"P0AC44_P0AGB0"	0.687275391093962	0.962509246609042
"10"	"P0AD61_P0AGB0"	0.6872749410157	0.979978595752046
"11"	"P0ADG7_P0AGB0"	0.687658139259974	0.983196958638135
"12"	"P0AFG6_P0AGB0"	0.687274941015716	0.974605365797268
"13"	"P0AFG8_P0AGB0"	0.68727494101573	0.977122211978948
"14"	"P21156_P0AGB0"	0.687274941015664	0.985469240372364
"15"	"P62707_P0AGB0"	0.6872749410157	0.982187882697227
"16"	"P69054_P0AGB0"	0.687275391093962	0.962509246609042
